users,quantity,price,income,region,year,illegal,logusers,logquantity,logprice,logincome,logillegal
5291,3273.5999,4.9189873,89,1,1923,173.3,8.5737629,8.0936451,1.5931027,4.4886365,5.1550241
4490,2857.2002,4.6819277,92,1,1924,249.2,8.4096079,7.9575973,1.5437099,4.5217886,5.5182557
4823,2915,4.7103033,93,1,1925,249.60001,8.4811516,7.9776249,1.5497524,4.5325994,5.5198598
6024,3079.1001,4.4666667,98,1,1926,298.39999,8.7035065,8.0323925,1.4966425,4.5849676,5.6984348
8733,3478.8,4.9189873,102,1,1927,307.89999,9.0748644,8.1544428,1.5931027,4.6249728,5.729775
13189,3807.3999,5.2513514,104,1,1928,214.3,9.4871387,8.2447014,1.6584854,4.6443911,5.3673768
12452,3493.8,4.9503183,100,1,1929,91.699997,9.429637,8.1587448,1.5994519,4.6051702,4.5185223
10689,3299.3999,5.1131577,103,1,1930,338.60001,9.2769709,8.1014957,1.6318172,4.6347289,5.8248196
13806,2812.4001,7.6196079,104,1,1931,87,9.5328588,7.9417934,2.030725,4.6443911,4.4659081
4075,1754.8,10.226315,103,1,1932,235.2,8.3126259,7.4701104,2.3249643,4.6347289,5.4604363
6363,1390.3,12.535484,105,1,1933,125.9,8.758255,7.2372746,2.5285633,4.6539602,4.8354878
4111,954.69995,12.740984,103,1,1934,230.2,8.3214216,6.8613973,2.5448239,4.6347289,5.4389486
3841,657.69995,12.14375,107,1,1935,158.10001,8.2534876,6.488749,2.4968147,4.6728287,5.0632277
4105,858.29999,8.8616667,109,1,1936,115.3,8.3199606,6.7549539,2.1817348,4.6913481,4.7475376
5021,1245,7.6191173,113,1,1937,194.39999,8.5213842,7.1268907,2.0306606,4.7273879,5.269918
4108,1364.2999,7.1428571,122,1,1938,72.300003,8.3206911,7.2183967,1.9661129,4.8040209,4.2808242
26483,6675.2998,4.9189873,89,2,1923,11.8,10.184258,8.8061695,1.5931027,4.4886365,2.4680996
23216,6186.7998,4.6819277,92,2,1924,12.7,10.052597,8.7301731,1.5437099,4.5217886,2.5416019
21270,5776,4.7103033,93,2,1925,40.299999,9.9650526,8.6614666,1.5497524,4.5325994,3.6963515
19633,5123.8999,4.4666667,98,2,1926,215.89999,9.8849669,8.5416708,1.4966425,4.5849676,5.3748155
17786,4548.3999,4.9189873,102,2,1927,292.20001,9.7861671,8.4225311,1.5931027,4.6249728,5.6774387
25737,6421.1001,5.2513514,104,2,1928,109.3,10.155684,8.7673445,1.6584854,4.6443911,4.6940966
25939,6073.2002,4.9503183,100,2,1929,99.699997,10.163503,8.7116413,1.5994519,4.6051702,4.6021657
23953,5098.6001,5.1131577,103,2,1930,32.200001,10.083849,8.5367212,1.6318172,4.6347289,3.4719665
21108,3889.3999,7.6196079,104,2,1931,5.4000001,9.957407,8.2660103,2.030725,4.6443911,1.686399
16093,2680.6001,10.226315,103,2,1932,16.6,9.6861401,7.893796,2.3249643,4.6347289,2.8094027
15034,1880.7999,12.535484,105,2,1933,72.699997,9.6180696,7.5394526,2.5285633,4.6539602,4.2863412
11280,1490,12.740984,103,2,1934,80,9.3307867,7.3065314,2.5448239,4.6347289,4.3820267
8954,1144.3,12.14375,107,2,1935,71.400002,9.0998554,7.0425482,2.4968147,4.6728287,4.2682977
8781,1422.1001,8.8733339,109,2,1936,54.599998,9.0803452,7.2598901,2.1830506,4.6913481,4.0000339
8983,1780.1,7.6191173,113,2,1937,2.5999999,9.1030893,7.4844246,2.0306606,4.7273879,.95551139
10155,1985.8999,7.1428571,122,2,1938,18.200001,9.2257214,7.5938272,1.9661129,4.8040209,2.9014215
47149,9153.2002,4.9189873,89,3,1923,35.299999,10.761068,9.1218586,1.5931027,4.4886365,3.5638828
43835,9620.2002,4.6819277,92,3,1924,82.5,10.688188,9.1716204,1.5437099,4.5217886,4.4127984
42233,9670.6992,4.7103033,93,3,1925,304.20001,10.650957,9.176856,1.5497524,4.5325994,5.7176852
40120,8866.9004,4.4666667,98,3,1926,271.70001,10.59963,9.0900803,1.4966425,4.5849676,5.6046987
41609,8810.2002,4.9189873,102,3,1927,301.10001,10.636072,9.0836658,1.5931027,4.6249728,5.7074423
46659,10795.9,5.2513514,104,3,1928,107.6,10.750621,9.2869215,1.6584854,4.6443911,4.6784205
43656,10165.9,4.9503183,100,3,1929,50.900002,10.684096,9.2267942,1.5994519,4.6051702,3.929863
39507,8612.4004,5.1131577,103,3,1930,52.299999,10.584233,9.0609579,1.6318172,4.6347289,3.9569964
36858,6810.6001,7.6196079,104,3,1931,39.700001,10.514828,8.8262358,2.030725,4.6443911,3.6813512
29428,4563.3999,10.226315,103,3,1932,50.099998,10.289701,8.4258232,2.3249643,4.6347289,3.914021
23430,3238.6001,12.535484,105,3,1933,134.2,10.061772,8.0828962,2.5285633,4.6539602,4.8993311
